2026-04-08 15:23:00 | INFO     | src.database.migrate | Applied migration: 002_create_artist_details.sql
2026-04-08 15:23:00 | INFO     | src.database.migrate | All migrations applied successfully
2026-04-08 15:26:51 | INFO     | main | === Starting iTunes Global Rankings scrape ===
2026-04-08 15:26:55 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:26:55 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:26:55 | INFO     | src.database.repository | Saved 300 iTunes rankings to DB
2026-04-08 15:26:55 | INFO     | main | iTunes scrape complete: 300 rows saved
2026-04-08 15:26:55 | INFO     | main | === Starting Spotify Artists scrape ===
2026-04-08 15:27:09 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/spotify/artists.html
2026-04-08 15:27:10 | INFO     | src.scrapers.spotify_scraper | Scraped 3000 Spotify artists
2026-04-08 15:27:11 | INFO     | src.database.repository | Saved 3000 Spotify artists to DB
2026-04-08 15:27:11 | INFO     | main | Spotify scrape complete: 3000 rows saved
2026-04-08 15:27:11 | INFO     | main | === Starting Trending Artists (last month) scrape ===
2026-04-08 15:27:11 | INFO     | src.scrapers.trending_scraper | Scraping trending artists for month: 2026-03
2026-04-08 15:27:14 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:27:14 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:27:14 | INFO     | src.scrapers.trending_scraper | Built 300 trending artist records for 2026-03
2026-04-08 15:27:15 | INFO     | src.database.repository | Saved 300 trending artist records to DB
2026-04-08 15:27:15 | INFO     | main | Trending scrape complete: 300 rows saved
2026-04-08 15:27:15 | INFO     | main | === Starting Artist Details scrape ===
2026-04-08 15:27:18 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/
2026-04-08 15:27:18 | INFO     | src.scrapers.itunes_scraper | Scraped 300 artist rankings from iTunes page
2026-04-08 15:27:28 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/bts.html
2026-04-08 15:27:28 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for BTS (23 songs, 5 albums, 39 countries)
2026-04-08 15:27:38 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/badbunny.html
2026-04-08 15:27:38 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Bad Bunny (23 songs, 3 albums, 32 countries)
2026-04-08 15:27:47 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/taylorswift.html
2026-04-08 15:27:48 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Taylor Swift (13 songs, 5 albums, 35 countries)
2026-04-08 15:27:54 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/kanyewest.html
2026-04-08 15:27:54 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Kanye West (12 songs, 4 albums, 39 countries)
2026-04-08 15:27:59 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/oliviadean.html
2026-04-08 15:27:59 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Olivia Dean (5 songs, 1 albums, 35 countries)
2026-04-08 15:28:07 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/brunomars.html
2026-04-08 15:28:07 | INFO     | src.scrapers.artist_details_scraper | Scraped artist details for Bruno Mars (7 songs, 2 albums, 35 countries)
2026-04-08 15:28:12 | INFO     | src.utils.http_client | Fetched [200] https://kworb.net/itunes/artist/omarcourtz.html
